"id","customer_name","customer_party_number","customer_address","customer_tax_id","customer_email","created_at","updated_at"
"customer-1","Max Mustermann","","Musterstr. 12, Musterhausen","","","2025-11-08T18:44:15.309Z","2025-11-08T18:44:15.309Z"
"customer-2","Muster GmbH","","Musterstraße 12a, 53757 Sankt Augustin","","","2025-11-08T18:44:15.309Z","2025-11-08T18:44:15.309Z"
"customer-3","Stefanie Johan Schmidt","","Genterstrasse 46, 66909 Berlin","","","2025-11-08T18:44:15.310Z","2025-11-08T18:44:15.310Z"
"customer-4","Max Müller","","Firmenstraße 1, 456789 Muster","","","2025-11-08T18:44:15.310Z","2025-11-08T18:44:15.310Z"
"customer-5","Klaus Kirsten GmbH","","Triverastr. 67/f, 00221 Berlin, Deutschland","","","2025-11-08T18:44:15.310Z","2025-11-08T18:44:15.310Z"
"customer-6","Mustermann GmbH.","","Hauptstraße 123, 10115 Berlin, Deutschland","","","2025-11-08T18:44:15.310Z","2025-11-08T18:44:15.310Z"
"customer-7","Habermann & Söhne","","Schnurlos Str. 81, 34131 Kassel","","","2025-11-08T18:44:15.310Z","2025-11-08T18:44:15.310Z"
"customer-8","Herrn Max Mustermann","","12345 Stadthausen","","","2025-11-08T18:44:15.313Z","2025-11-08T18:44:15.313Z"
"customer-9","XYZ Buyer ABC Company","","Fasanenstrasse 48, Hamburg, Germany","","","2025-11-08T18:44:15.315Z","2025-11-08T18:44:15.315Z"
"customer-10","Musterkunde AG Mr. John Doe","","Musterstr. 23, 12345 Musterstadt","","","2025-11-08T18:44:15.315Z","2025-11-08T18:44:15.315Z"
